OBS#,CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,RADIO/TV,EDUCATION,RETAINING,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,AMOUNT
0,0,6,4,0,0,0,1,0,0,4,4,4,0,1,0,0,0,4,1,0,67,0,0,1,2,2,1,1,0,1169
1,1,48,2,0,0,0,1,0,0,0,2,2,0,0,0,0,0,2,1,0,22,0,0,1,1,2,1,0,0,5951
2,3,12,4,0,0,0,0,1,0,0,3,2,0,1,0,0,0,3,1,0,49,0,0,1,1,1,2,0,0,2096
3,0,42,2,0,0,1,0,0,0,0,3,2,0,1,0,0,1,4,0,0,45,0,0,0,1,2,2,0,0,7882
4,0,24,3,1,0,0,0,0,0,0,2,3,0,1,0,0,0,4,0,1,53,0,0,0,2,2,2,0,0,4870
5,3,36,2,0,0,0,0,1,0,4,2,2,0,1,0,0,0,4,0,1,35,0,0,0,1,1,2,1,0,9055
6,3,24,2,0,0,1,0,0,0,2,4,3,0,1,0,0,0,4,0,0,53,0,0,1,1,2,1,0,0,2835
7,1,36,2,0,1,0,0,0,0,0,2,2,0,1,0,0,0,2,0,0,35,0,1,0,1,3,1,1,0,6948
8,3,12,2,0,0,0,1,0,0,3,3,2,1,0,0,0,0,4,1,0,61,0,0,1,1,1,1,0,0,3059
9,1,30,4,1,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,28,0,0,1,2,3,1,0,0,5234
10,1,12,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,25,0,1,0,1,2,1,0,0,1295
11,0,48,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,24,0,1,0,1,2,1,0,0,4308
12,1,12,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,22,0,0,1,1,2,1,1,0,1567
13,0,24,4,1,0,0,0,0,0,0,4,4,0,1,0,0,0,4,0,0,60,0,0,1,2,1,1,0,0,1199
14,0,15,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,4,0,0,28,0,1,0,1,2,1,0,0,1403
15,0,24,2,0,0,0,1,0,0,1,2,4,0,0,0,0,0,2,0,0,32,0,0,1,1,1,1,0,0,1282
16,3,24,4,0,0,0,1,0,0,4,4,4,0,1,0,0,0,4,0,0,53,0,0,1,2,2,1,0,0,2424
17,0,30,0,0,0,0,0,0,0,4,1,2,0,1,0,0,0,3,0,0,25,1,0,1,3,2,1,0,0,8072
18,1,24,2,0,1,0,0,0,0,0,4,4,0,0,0,0,0,2,0,1,44,0,0,0,1,3,1,1,0,12579
